Temperatura,Personas,Electrodomesticos,Consumo_kWh
16.784204608967023,1.0,8.0,30.451969720946217
17.89572154392398,3.0,16.0,50.22079424976824
25.32572927256667,2.0,7.0,
31.113134314946702,4.0,11.0,
14.792082948689885,3.0,14.0,43.36689896867266
23.16904017354849,2.0,6.0,36.06913409033262
23.698096669762627,5.0,18.0,67.40451616752516
,1.0,15.0,49.29243269399433
21.950370886877433,5.0,8.0,45.209366863846846
31.019238925272447,4.0,19.0,70.5039914358488
28.839219931168376,4.0,5.0,45.57322145543828
20.693189176813657,,15.0,58.038745858260356
,3.0,6.0,36.62799671378435
24.84921150936733,5.0,14.0,57.73092019305959
16.954899879905128,4.0,19.0,60.92493880020312
16.355236982064252,2.0,5.0,28.801998000806623
27.297723046267848,,,38.859886735132726
27.15220535639611,5.0,19.0,75.73531807498293
22.71183149199597,2.0,17.0,55.51316271528709
24.964395940639093,3.0,11.0,50.316277942465156
16.94681376976941,1.0,18.0,50.11805912682961
12.763176791197184,3.0,20.0,55.37425138249468
20.84997981275296,4.0,15.0,58.7645225706716
23.884471461550277,4.0,,55.56909584049976
19.649918129334004,3.0,15.0,55.41183828113347
20.907535055658485,3.0,10.0,48.34946124543594
23.729600398935137,5.0,19.0,72.4211562233794
20.95328668503391,4.0,7.0,37.93242626148583
24.03441124358615,4.0,12.0,52.63621893155788
27.095774038605448,5.0,7.0,51.82030778111684
16.771545699782134,,9.0,45.417762690197684
30.103740613838497,5.0,12.0,59.31802303135178
12.853672366049404,5.0,9.0,46.78731754700672
28.175797220660385,2.0,19.0,58.308107829520864
10.82755072633483,3.0,17.0,48.38141831858297
20.4157389501746,,17.0,53.94388974837026
28.479049889438816,5.0,5.0,48.457958533458076
22.863049704824757,1.0,11.0,42.683585807051095
21.368212558567937,4.0,8.0,47.16990146128188
22.086874823762766,1.0,11.0,39.429814573885125
28.506916216511232,4.0,17.0,67.79825648196355
25.096339567871556,1.0,6.0,
,2.0,10.0,40.499553165375865
20.117242086868107,1.0,5.0,28.506134845386555
27.59999601144412,5.0,14.0,64.58150506979081
23.98108767806951,1.0,18.0,55.02931409287228
25.19864361561332,4.0,14.0,56.396815846508396
14.244268634191847,,10.0,35.635268606049436
30.63819243509513,3.0,11.0,54.17499696065185
22.838929851254562,4.0,7.0,45.57538910757851
28.560854743460744,3.0,14.0,54.1138446649161
30.32238584177072,4.0,15.0,65.6833276078797
22.42876298282964,2.0,16.0,
23.834871567196195,1.0,15.0,50.81577789650695
27.84882112115181,5.0,20.0,72.04771511848554
25.706924692173498,4.0,12.0,52.302749782495724
24.800845924474483,3.0,7.0,
23.48021015810862,3.0,6.0,40.66716178350765
21.064771529744654,,16.0,44.168087139451885
22.057264883859713,2.0,19.0,54.1104516676647
23.465654937890097,,10.0,
28.721851070230304,1.0,10.0,39.20639210572827
26.22244579675291,2.0,17.0,55.04901459408195
17.663531717424082,1.0,19.0,52.09537635878065
23.05592804502216,5.0,8.0,48.69817485300511
19.277236522470684,3.0,8.0,35.06268442848625
20.473131500797614,4.0,17.0,61.671221631017055
13.817032865911925,4.0,15.0,51.96262525107001
25.475570713393104,2.0,12.0,49.75936839016638
22.07162900358347,3.0,13.0,48.592904219372926
26.662184795539897,4.0,8.0,50.271429279464165
22.648161121102756,4.0,7.0,45.79401137407519
21.367773910795844,1.0,7.0,27.73961330749419
,,7.0,55.45717149246961
14.368147547445187,2.0,16.0,47.52984421601192
,3.0,7.0,32.180773571757165
26.68497152667797,5.0,14.0,65.34481748576363
24.976214402959627,1.0,18.0,52.273235017054475
14.564661204956462,2.0,6.0,29.50214967004701
14.555282156083141,2.0,9.0,36.90518024840904
18.66705684372834,1.0,6.0,28.902578406347274
27.95458405279872,,,57.639977092279274
22.904386305329353,5.0,11.0,59.71412325176561
27.671403505617498,5.0,,54.21113399256044
21.358400733357776,1.0,13.0,44.141425204628504
25.613542771280123,1.0,14.0,53.31293748987255
13.624921088489,1.0,14.0,43.32911083184453
,1.0,13.0,39.67435515730141
12.391031115024614,4.0,17.0,56.8775317655439
25.896369787261666,3.0,17.0,63.02186500028715
23.169712200108638,1.0,10.0,35.43187442179212
12.076058749375274,4.0,16.0,48.46490943995518
15.815767682583148,3.0,14.0,46.564001462388774
20.258930736216055,2.0,6.0,27.598345545923674
25.88221131282968,3.0,6.0,43.79291060882171
28.697178043128194,1.0,8.0,41.57689000509435
24.210535471636273,1.0,6.0,31.345590631080434
24.30295912203168,2.0,7.0,34.73520532067459
,1.0,17.0,46.63782422639206
23.656071897882843,1.0,9.0,39.571672598794535
,,10.0,44.45615211575884
18.545028543608336,3.0,6.0,
17.04309346840197,3.0,10.0,40.52407243595363
19.411480376545747,3.0,18.0,53.24780202603124
21.244830986904503,5.0,7.0,42.86213276890371
27.183546155559746,3.0,11.0,52.566716888400265
23.94218308255031,1.0,13.0,44.979823871012506
17.478218447908063,3.0,10.0,
22.386938792522265,4.0,20.0,68.84684792644875
25.171591277313343,4.0,10.0,49.842729203138255
15.647268562924205,3.0,17.0,50.95935126925238
18.250422437834686,1.0,14.0,43.781336592907046
35.996048877101614,4.0,7.0,58.75672481833833
23.47027655746008,5.0,11.0,53.411430131574825
23.119440746914783,3.0,14.0,52.60237162016662
17.703624377146557,4.0,20.0,65.23594496717358
15.68081598475131,1.0,8.0,25.477233333682165
24.869364319245076,2.0,14.0,47.13382575244256
11.955947418458415,3.0,19.0,48.38079755984031
18.236017087083546,2.0,16.0,48.79805508823066
22.831022485455534,1.0,20.0,52.176804140339286
18.623349213657622,1.0,19.0,52.45194254166748
21.170493225057147,5.0,18.0,63.25768400624563
23.531743893545375,1.0,5.0,35.60696073689369
14.450886262639525,3.0,5.0,29.375859187175028
18.444786143138252,3.0,,56.27800504239866
,3.0,11.0,
20.737533738614175,3.0,12.0,46.32229915183551
17.189201001442143,4.0,8.0,41.26938658037798
23.52245296745017,4.0,19.0,65.1158641713287
16.452092411778427,3.0,11.0,41.86927007914235
17.903174591937155,3.0,18.0,55.2069251917169
29.87207147987093,2.0,20.0,66.2592425844051
17.46855815551966,1.0,19.0,49.496045223445726
24.25191266618246,3.0,15.0,51.25171772026121
23.538114067986992,5.0,17.0,63.90076253638168
28.391168265325057,4.0,,59.3445967517949
20.509936247004514,3.0,,46.58334871189345
23.154913793637085,2.0,16.0,52.42111175539495
26.40552414720256,1.0,20.0,60.27056402768011
24.655571185262755,3.0,18.0,61.82265301832385
14.36633610967569,1.0,16.0,
19.691087140998192,3.0,11.0,44.37644589147032
29.460438405009953,1.0,7.0,36.62431161079606
18.96822392236278,5.0,13.0,50.097325238935476
22.27381452781224,2.0,7.0,
23.756405690837333,4.0,19.0,69.8663712281226
10.199511639373107,3.0,14.0,40.48904272805182
25.480060384002186,2.0,9.0,41.68556378638222
18.19267134394414,1.0,8.0,27.915718536055522
20.013232964052307,5.0,18.0,65.739110905386
19.752979566042836,2.0,17.0,53.052242546897354
25.674532621972364,2.0,8.0,42.38273360734765
24.135167625968037,2.0,20.0,57.45399984811593
25.03823749998013,2.0,8.0,41.595666724180745
21.97219244573769,1.0,17.0,56.18770920027858
21.470671420927374,5.0,6.0,46.54748686598527
21.866503745640134,5.0,5.0,
14.592853628230479,2.0,13.0,39.95314079864222
28.20353438281679,1.0,9.0,40.109730871148585
20.672686175705326,2.0,13.0,45.95265623831615
18.93278228912726,3.0,9.0,154.3903005516594
21.574638280575254,5.0,7.0,45.558172348528984
20.433714880570406,1.0,8.0,32.451281521537155
27.237961797795755,4.0,7.0,51.57841635823846
23.070047825475818,4.0,12.0,56.8207632270459
32.65388908985243,3.0,9.0,50.48125972012762
11.813856278334816,1.0,5.0,21.9721249454525
19.56794187718274,2.0,12.0,45.215958422817025
20.820436411281605,5.0,13.0,62.36028716590767
19.555130238443834,3.0,14.0,48.35097318361298
17.77786773845983,3.0,14.0,49.53722901559368
21.75593301945757,1.0,17.0,53.21288738632337
29.423124023965205,5.0,6.0,53.95450369274475
21.5063443664606,5.0,11.0,56.66881192595234
18.813711477886855,4.0,16.0,62.743941474969894
30.375244138366728,1.0,13.0,49.98138770978237
14.893276104506313,4.0,13.0,55.163206363967106
22.98461078637514,1.0,17.0,
18.30459872517961,,5.0,35.2940807523664
18.209874121582565,2.0,17.0,47.63065905901358
24.188182204818677,5.0,15.0,60.78576574792531
,3.0,17.0,55.28747063236413
24.784588260988382,5.0,9.0,52.49463221690627
20.646758298218295,4.0,15.0,58.052214499926144
19.150136436457277,1.0,14.0,41.58762173939394
15.64001124770419,3.0,16.0,49.79415971111272
36.60501228526047,1.0,5.0,45.348568225715596
22.12315762585392,4.0,6.0,42.82129963513189
23.296158448163084,4.0,11.0,50.92516742555992
10.495809320079628,3.0,15.0,50.05449427058034
28.042377910841097,4.0,7.0,47.65351323817182
31.16142692117694,1.0,15.0,56.401748184237604
26.913471844440732,5.0,7.0,53.209057846281105
24.55583344941091,2.0,17.0,52.52474987144733
19.514617584571216,5.0,9.0,45.24509098053025
26.412572850425736,5.0,12.0,57.31670984000924
15.940715678187182,2.0,5.0,26.368628728045312
,4.0,15.0,59.44852734300754
23.789411792871018,4.0,13.0,53.52246660512922
20.223791411893572,4.0,20.0,63.13280817511487
22.305558263123896,4.0,10.0,50.03939227742943
25.17598136408355,1.0,9.0,41.485474866034686
29.497407649786304,4.0,15.0,66.38444370471667
25.962627248050616,3.0,19.0,60.36811648678642
26.632435043232633,1.0,14.0,47.97287360738309
27.72212132696044,4.0,18.0,70.49919611835607
27.04312194286486,4.0,9.0,51.639364613748846
20.07180809117417,5.0,5.0,42.05298159048177
